Refid,User,Level,ID,Trial_ID,ID_related,Country,Country_comment,Funding_type,Funding_type_comment,publication_type,publication_type_comment,Trial_status,Trial_status_comment,study_design,study_design_comment,AE_NonRCT,study_size,Study Size Comment (optional),power_calculation,power_calculation_comment,Mean age in years,Gender,CancerType,CancerType_comment,number_metastases,volume_metastases,size_metastases,prognosis_info,Prognosis,Prognosis_comment,Intervention,KeyQuestion,arm1intervention,arm1radiationdose,arm1_co-treatment,quality_arm,quality_arm_comment,arm1_randomized,arm1_analyzed,arm2_passive_active,arm2_passive_active_comment,arm2control,arm2radiationdose,arm2_co-treatment_type,arm2_randomized,arm2_analyzed,arm3comparator,arm3radiationdose,arm3_co-treatment_type,arm3_randomized,arm3_analyzed,outcomes,Followup_start_intervention,Followup_end_intervention,Overallsurvival_measure_description,Overallsurvival_survival_months,Overallsurvival_survival_control,Overallsurvival_3rd_arm,overallsurvival_survivalhazardratio,overallsurvival_SE_HR_control,overallsurvival_lowerCI_HR_control,overallsurvival_upperCI_HR_control,overallsurvival_survivalhazardratio_3rd_arm,overallsurvival_lower_CI_3rd_arm,overallsurvival_upper_CI_HR_3rdarm,Overallsurvival_notmeasured,overallsurvival_notes_Owen,QOL_measure_description,QOL_mean,QOL_mean_control,QOL_standard_deviation,QOL_standard_deviation_control,QOL_not_measured,Cognitive_function_measure,Cognitive_function_mean,Cognitive_function_mean_control,Cognitive_function_standard_deviation,Cognitive_function_standard_deviation_control,Cognitive_function_not_measured,deaths_measure,deaths_n_participants,deaths_n_participants_control,deaths_not_measured,death_notes_Owen,diseasefree_measure,diseasefree_survival_months,diseasefree_survival_months_control,diseasefree_survival_months_3rd_arm,disease-free_survival_survivalhazardratio,disease-free_survival_lowerCI_HR_control,disease-free_survival_upperCI_HR_control,diseasefree_not_measured,disease-free_notes_Owen,intracranial_measure,intracranial_n_participants,intracranial_n_participants_control,intracranial_n_participants_3rd_arm,intracranial_survivalhazardratio,intracranial_lowerCI_HR_control,intracranial_upperCI_HR_control,intracranial_not_measured,intracranial_notes_Owen,functionalstatus_measure,functionalstatus_scale_validation,functionalstatus_mean,functionalstatus_mean_control,functionalstatus_standard_deviation,functionalstatus_standard_deviation_control,functionalstatus_not_measured,SAE_measure,SAE_n_participants,SAE_n_participants_control,SAE_n_participants_3rd_arm,SAE_notes_Owen,AE_measure,AE_n_participants,AE_n_participants_control,AE_n_participants_3rd_arm,AE_not_measured,AE_notes_Owen,radiation_necrosis_measure,radiation_necrosis_n_participants,radiation_necrosis_n_participants_control,radiation_necrosis_n_participants_3rd_arm,radiation_necrosis_not_measured,radiation_necrosis_notes_Owen,fatigue_measure,fatigue_n_participants,fatigue_n_participants_control,fatigue_n_participants_3rd_arm,fatigue_not_measured,Fatigue_notes_Owen,seizure_measure,seizure_n_participants,seizure_n_participants_control,seizure_n_participants_3rd_arm,Seizure_notes_Owen,vomiting_measure,vomiting_n_participants,vomiting_n_participants_control,vomiting_n_participants_3rd_arm,vomiting_not_measured,Vomiting_notes_Owen,headaches_measure,headaches_n_participants,headaches_n_participants_control,headaches_n_participants_3rd_arm,headaches_notes_Owen,other_AE_measure,other_AE_n_participants,other_AE_n_participants_control,other_AE_n_participants_3rd_arm,other_AE_not_measured,other_AE_notes_Owen,Additional effectiveness continuous outcome_1_measure_descr,Additional effectiveness continuous outcome_1_survival,Additional effectiveness continuous outcome_1_survival_control,Additional effectiveness continuous outcome_1_not measured,Additional effectiveness categorical outcome_1_measure,Additional effectiveness categorical outcome_1_n_participants,Additional effectiveness categorical outcome_1_n_participants_control,Additional effectiveness categorical outcome_1_not_measured,selectionbias,selectionbias_comment,performancebias,performancebias_comment,attritionbias,attritionbias_comment,detectionbias,detectionbias_comment,reportingbias,reportingbias_comment,otherbias,otherbias_comment,otherbias_scale,otherbias_scale_comment,data_collection_AE,data_collection_AE_comment,reporting_AE,reporting_AE_comment,overall_health_outcomes,overall_health_outcomes_comment,overall_AE,overall_AE_comment,Comments,doublechecked,doublechecked_comment
6074,agarsa,3,"Yang, 2019{#6074}",NCT02393131,"National Taiwan University, 2019{#6325}",Taiwan,,Industry ,,Abbreviated,abstract,Preliminary data,initial analysis,RCT,,NA,70,,No ,,59.5 [median],N/A,Different cancer types,95% lung,N/A,N/A,N/A,unclear,Unclear,unclear,WBRT : WBRT vs. hippocampal-avoidance WBRT,KQ1 : WBRT (hippocampal-avoidant vs. standard),Hippocampal-sparing WBRT,"3000 cGy, 10 fractions, qd",,Limited,,,33,Active,,WBRT,"3000 cGy, 10 fractions, qd",,,32,,,,,,Cognitive function,,,,,,,,,,,,,,,,,,,,,,"Hopkins Verbal Learning Test-Revised [HVLT-R], Trail Making Test [TMT], and Controlled Oral Word Association [COWA] at 4 months",,,,,No differences in any neurocognitive assessments between two arms at 4 months. HA-WBRT had favorable perpetuation of HVLT-R total recall and significantly better preservation of HVLT-R recognition-discrimination index compared to WBRT at 6 months.  No differences in TMT part A or B between two arms at any time point. WBRT had significantly superior COWA scores than HA-WBRT in patients who survived 12 months or longer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate/Unclear ,Randomized and stratified but method not described. Abstract only.,Low risk,Patient and examiners blinded.,Moderate/Unclear,Attrition described. 2/3 in each arm make it to the 4 month endpoint for cognitive testing (primary endpoint). Attrition for survival data not described.,Low risk,Patient and examiners blinded.,Moderate/Unclear ,Only the abstract is available.,Moderate/Unclear,Only the abstract is available.,Low,"HVLTR, TMT, COWA",High Risk,AE not reported in abstract.,High bias,AE not reported in abstract.,Neutral,,High,AE not reported in abstract.,,double checked,
6104,agarsa,3,"Yang, 2018{#6104}",NCT01887795,Daping Hospital{#6505},China,,Non industry,hospital funding,Abbreviated,abstract,OK,,RCT,,NA,222,,No ,,N/A,N/A,Lung cancer only,,all patients had at least 2 brain metastases,N/A,N/A,unclear,Unclear,,"WBRT,Adjunct chemotherapy : WBRT + erlotinib",KQ1 : WBRT +/- erlotinib,WBRT + Erlotinib,"4000 cGy, 20 fractions, qd",Erlotinib p.o. 150 mg/day,Limited,,107,107,Passive,,WBRT,"4000 cGy, 20 fractions, qd",,115,115,,,,,,"Overall survival,Disease-free survival",,11.2`,,12.9,10,,0.913,,0.680,1.226,,,,,,,,,,,,,,,,,,,,,,,Progression-free survival,5.3,4.0,,0.969,0.735,1.277,Median intracranial PFS was 11.2 months (95% CI: 7.2-13.7) with WBRT + Erlotinib versus 9.2 months (95% CI: 6.7-10.9) with WBRT alone (HR 0.926; 95% CI:0.695-1.234; P=0.601).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate/Unclear ,Randomized but method not described. Abstract only.,Moderate/Unclear,"Not blinded but could have been. Can't comment on compliance, abstract only.",Moderate/Unclear,Attrition not described in this abstract.,Moderate/Unclear,Not blinded but could have been. abstract only.,Moderate/Unclear ,Only the abstract is available.,Moderate/Unclear,Only the abstract is available.,Unclear,QOL not reported,Moderate/Unclear,AE not reported,Moderate/Unclear bias,AE not reported,Neutral,,Neutral,Not reported in abstract,,double checked,
6107,agarsa,3,"Zhu, 2018{#6107}",ChiCTR-INR-17013204,Taizhou Hospital of Zhejiang Province{#8399},China,,Unclear,na,Abbreviated,abstract,OK,,RCT,,NA,75,,No ,,N/A,N/A,Lung cancer only,,N/A,N/A,N/A,unclear,Unclear,unclear,WBRT : 25 Gy WBRT vs 30 Gy WBRT (both studies boosted dose to the brain metastases to 50 Gy),KQ1 : WBRT (different dose/technique),WBRT Intensity Modulated Radiation Therapy with Simultaneous Integrated Boost 30Gy,"WBRT: 3000 cGy, 10 fractions, qd AND concomitant tumor boost of 5000 cGy, 10 fractions, qd",,Limited,,37,37,Active,,WBRT Intensity Modulated Radiation Therapy with Simultaneous Integrated Boost 25Gy,"2500 cGy, 10 fractions, qd AND concomitant tumor boost of 5000 cGy, 10 fractions, qd",,38,38,,,,,,"Overall survival,Cognitive function,Disease-free survival",,15,,8,13,,,,,,,,,,"HR not given, but text indicates significant difference in treatment arms",,,,,,,MMSE at 12 months,26.4,27.4,2.03,1.26,,,,,,,Intracranial progression-free survival,8,11,,,,,,Difference was not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate/Unclear ,Randomized but method not described. Abstract only.,Moderate/Unclear,Not blinded but cant (RT dose trial). Unlikely to affect survival. Compliance and treatment allocation not described in abstract.,Moderate/Unclear,Attrition not described in this abstract.,Moderate/Unclear,Not blinded but cant (RT dose trial). Unlikely to affect survival. Might affect their other endpoints.,Moderate/Unclear ,Only the abstract is available.,Moderate/Unclear,Only the abstract is available.,Unclear,MMSE,Moderate/Unclear,AE not reported in abstract,Moderate/Unclear bias,AE not reported in abstract,Neutral,,Neutral,AE not reported in abstract,,double checked,
6385,oakinni,3,"University of Michigan, 2016 {#6385}",NCT02097732,"Silk, 2015{#8386}",USA,,Industry ,,Abbreviated,trial record,Early termination,Study halted prematurely due to a change in the standard of care treatment,RCT,,NA,4,,No ,,58 [mean] 48-69 [range],25%,Melanoma only,,NA,NA,NA,unclear,Unclear,unclear,"SRS,Adjunct immonotherapy",KQ2 : induction immunotherapy + SRS vs. SRS followed by immunotherapy,Induction ipilimumab + SRS,N/A,"Ipilimumab 3mg/kg given intravenously every 3 weeks, total of 4 doses",OK,,3,3,Passive,,SRS followed by ipilimumab,NA,"Ipilimumab 3mg/kg given intravenously prior to SRS, every 3 weeks, total of 4 doses",1,1,,,,,,Number of patients with serious adverse events,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serious adverse events (event that results in death, is life-threatening, requires inpatient hospitalization or extends a current hospital stay, results in an ongoing or significant incapacity or interferes substantially with normal life functions, or causes a congenital anomaly or birth defect)",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate/Unclear ,Randomized but method not described. clinicaltrials.gov only.,Moderate/Unclear,Open labeled. Unlikely to affect survival. Unknown how will it affect compliance.,Moderate/Unclear,clinicaltrial.gov profile only,Moderate/Unclear,"clinicaltrial.gov profile only. Open label, could affect detection of control",Moderate/Unclear ,clinicaltrial.gov profile only,High risk (specify),"terminated early, trial record only",Unclear,QOL not assessed.,Moderate/Unclear,CTCAE. clinicaltrials.gov only,Moderate/Unclear bias,CTCAE. clinicaltrials.gov only,Neutral,,Neutral,CTCAE. clinicaltrials.gov only,,double checked,
6420,agarsa,3,GlaxoSmithKline 2012{#6420},NCT00390806,"Ramlau, 2013{#8380}",USA,,Industry ,GlaxoSmithKline,Abbreviated,trial record,OK,,RCT,,NA,472,,No ,,58.6 (8.6),34% female,Lung cancer only,,N/A,N/A,N/A,unclear,Unclear,N/A,"WBRT,Adjunct chemotherapy : WBRT + topotecan",KQ1 : WBRT +/- topotecan,WBRT + Topotecan,"3000 cGy, 10 fractions, qd",Topotecan 1.1 mg/m2/day p.o. two hours post WBRT,OK,,236,236,Passive,,WBRT,"3000 cGy, 10 fractions, qd",,236,236,,,,,,"Overall survival,Intracranial progression/central nervous system failure,Number of patients with serious adverse events,Number of adverse events,Fatigue : tiredness,Seizure,Vomiting,Headaches",,,Overall survival is defined as the time from randomization until the date of death due to any cause.,4.0,3.6,,0.88,,0.73,1.07,,,,,Okay,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive disease,179,161,,,,,,WBRT+Topotecan (N= 235); WBRT (N= 233),,,,,,,,Number of patients,96,43,,"WBRT+Topotecan (N= 235); WBRT (N= 233) 
Number of events: WBRT+Topotecan 205; WBRT 67",Number of patients,204,148,,,"WBRT+Topotecan (N= 235); WBRT (N= 233)
Number of events: WBRT+Topotecan 1114; WBRT 749",,,,,,,,40,37,,,,convulsions and epilepsy,6,5,,,,40,24,,,,,28,28,,,,,,,,,,,,,,,,,Moderate/Unclear ,Randomized but method not described. clinicaltrials.gov only.,Moderate/Unclear,Open labeled could have been blinded. Unlikely to affect survival. Unknown how will it affect compliance. It lists those who did/didn't complete treatment allocated but clinicaltrials.gov does not list why.,Moderate/Unclear,clinicaltrial.gov profile only; some patients are still ongoing so we don't have full attrition data (so far it looks like low risk),Moderate/Unclear,"clinicaltrial.gov profile only. Open label but could have been blinded, could affect detection of control",Moderate/Unclear ,clinicaltrial.gov profile only,Moderate/Unclear,clinicaltrial.gov profile only; unknown target sample size. ITT analyses,Unclear,"Indicated Investigator Assessment of ataxia, craniial nerves, strength, etc.",Moderate/Unclear,CTCAE. clinicaltrials.gov only,Low bias,CTCAE. clinicaltrials.gov only but pretty comprehensive,Neutral,,Neutral,,,double checked,
6510,agarsa,3,National Cancer Institute 2011{#6510},NCT01217411,,USA,,Non industry,,Abbreviated,trial record,Early termination,low accrual and discontinuation of the study drug,RCT,,NA,5,study closed early due to low accrual and discontinuation of the study drug,No ,,"WBRT + R04929097: 49 [median] ,  SRS + RO4929097:  49 [median]","WBRT + R04929097: 33% female,  SRS + RO4929097:  0% female",Breast cancer only,,60% with 4 or more lesions,NA,NA,60% with 4 or more brain lesions or otherwise not eligible for SRS,Poor,,"WBRT,SRS,Adjunct chemotherapy : R04929097 + WBRT or R04929097 + SRS","KQ1 : WBRT + R04929097 vs. SRS + R04929097,KQ2 : WBRT + R04929097 vs. SRS + R04929097",WBRT + R04929097,30-40 Gy in 10-20 fractions,R04929097 (gamma secretase inhibitor) 5mg,Limited,,3,3,Active,,SRS + RO4929097,"20 Gy for tumors up to 1cm diameter, 18 Gy for tumors from 1.1-2.5 cm, 16 Gy for tumors >2.5 cm for patients with 3 or fewer brain lesions",R04929097 5mg,2,2,,,,,,"Number of patients with serious adverse events,Fatigue,Seizure,Vomiting,Headaches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Death, not treatment related",1,0,,doesn't state the total number,,,,,,,,,,,,,NA,1,0,,,,NA,1,0,,,NA,1,0,,,,NA,1,0,,,,,,,,,,,,,,,,,High risk,Not randomized. The trial is only a phase I study (so everyone got the experimental drug).,High risk,Open labeled could have been blinded. Unlikely to affect survival. Unknown how will it affect compliance. Also there is no comparison group so this bias assessment is kind of N/A.,Moderate/Unclear,"Unknown attrition, still collecting data of the enrolled patients.",High risk,Not blinded could have been blinded. This is not randomized.  Also there is no comparison group so this bias assessment is kind of N/A.,Moderate/Unclear ,"Other rater put high risk (""lots not analyzed""). I think results are still pending.",High risk (specify),"(Other rater: ""small, early termination, baseline differences, reporting sparse""). Early termination so this is only a phase I study and they didn't even make it to the next dose escalation. Small sample size N=5 split among 2 treatment regimens.",Unclear,"Cognitive assessment, but test not specified or reported.",Moderate/Unclear,Other rater put low risk. CTCAE. clinicaltrials.gov only,Low bias,"Other rater put high risk (""number of patients unclear"").  CTCAE. clinicaltrials.gov only but pretty comprehensive",High,"(other rater: early termination) agreed. small sample, also not randomized or a study comparative study",Neutral,"Other rater put high risk (""early termination""). Comprehensive with small sample size.","in 11/19 there was no journal publication,  no outcomes reported",double checked,SH/AG
6591,christine_chen,3,"Merck Sharp & Dohme Corp, 2008{#6591}",NCT00266812,,USA,,Industry ,,Abbreviated,Trial record,Early termination,,RCT,,NA,35,,No ,,64.3 (11.3),40% female,Lung cancer only,,NR,NR,NR,NR,Unclear,,"WBRT,Adjunct chemotherapy : WBRT+ TMZ",KQ1,WBRT + TMZ,40 Gy in 20 fractions or 30 Gy in 10 fractions,"Temozolomide 75mg/m2/day p.o. for 14 days during radiation, 100 mg/m2/day at 14 days on/14 days off until intolerable or progression",OK,,22,18,Passive,,WBRT,40 Gy in 20 fractions or 30 Gy in 10 fractions,,13,13,,,,,,"Number of patients with serious adverse events,Number of adverse events,Fatigue,Vomiting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of participants,8,4,,Number of events: intervention = 14; control = 4,Number of events,70,21,,,Number of events: intervention =  56; control = 17,,,,,,,Number of events,1,0,,,,,,,,,Number of events,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6604,christine_chen,3,"Hoffmann-La Roche, 2011{#6604}",NCT00977379,,France,,Industry ,,Abbreviated,Trial record,Early termination,,RCT,,NA,24,,No ,,56.2 (14.2),100% female,Breast cancer only,,NR,NR,NR,NR,Unclear,,"WBRT,Adjunct chemotherapy : WBRT + Capecitabine",KQ1,WBRT + Capecitabine,30 Gy in 10 fractions,"Capecitabine 825 mg/m2 p.o. bid Days 1-14 every 21 days for 1 cycle, followed by capecitabine 1000 mg/m2 p.o. bid Days 1-14 every 21 days starting with Cycle 2",OK,,12,11,Passive,,WBRT,30 Gy in 10 fractions,Standard care,12,12,,,,,,"Overall survival,Cognitive function,Number of patients with serious adverse events,Number of adverse events,Fatigue,Seizure,Vomiting,Headaches",,,,4.6,9.8,,,,,,,,,,,,,,,,,Change From Baseline in Mini Mental State (MMS),0.9,-1.5,3.2,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of participants,6,6,,Number of events: intervention=9 ; control = 7,Number of events,75,77,,,,,,,,,,Number of events,3,0,,,,Number of events,1,2,,,Number of events,6,1,,,,Number of events,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7060,agarsa,3,"McPherson, 2010{#7060}",N/A,,USA,,Non industry,,Journal,,OK,,Cohort,retrospective,EffectnonRCT : after surgical resection,358,,No ,,55 [median],42% female,Different cancer types,"majority lung, melanoma, breast",1 (all patients had 1 brain metastasis),N/A,76% < 3 cm,All RPA 1 (48%) or 2 (52%),Good,All RPA 1 or 2,"Surgery only,WBRT + surgery",KQ3 : surgery +/- WBRT,Surgery + WBRT,"3000 cGy, 10-15 fractions",Resection of single brain metastases,,,,142,Passive,,Surgery alone,,Resection of single brain metastases,,216,,,,,,"Overall survival,Intracranial progression/central nervous system failure",,60.1,,14.7,11,,0.77,,0.61,0.98,,,,,Okay,,,,,,,,,,,,,,,,,,,,,,,,,,,Local tumor recurrence  (at site of surgery),21,46,,0.58,0.35,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High risk,Retrospective cohort. Baseline characteristics differ by brain mets at presentation and symptoms present.,High risk,This isn't a randomized trial. Patients and physicians are making decisions about which treatment they are getting. Those expectations and wishes are going to affect performance.,Moderate/Unclear,Lost to follow up gets censored but we don't know how much is lost to follow up. Also we don't know what happens with other missing data (missing covariates).,High risk,"Not a randomized study. While this is a study comparing 2 treatment modalities, the way patients are going to be followed may be different and what salvage therapies are offered will be different.",High risk,"Retrospective, analyses are unlikely to be preplanned. They pretty much did everything (univariate, then subgroup analysis, multivariable analyses).",High risk (specify),"Again, not a RCT, so no ITT. All the other bias inherent in a retrospective, non randomized study.",Unclear,QOL not assessed.,High Risk,AE not reported,High bias,AE not reported,High,,High,,,double checked,
7370,agarsa,3,Jiang 2016{#7370},N/A,,China,,Non industry,,Journal,,OK,,Cohort,retrospective,EffectnonRCT : EGFR tyrosine kinase inhibitor,230,,No ,,74% <65,58% female,Lung cancer only,,56% have more than 10 metastases,N/A,N/A,mixed,Unclear,,"Chemotherapy only : TKI (tyrosine kinase inhibitors),Adjunct chemotherapy : TKI + WBRT",KQ1 : chemotherapy +/- WBRT,EGFR TKI + WBRT,"3000 cGy, 10 fractions, qd","Gefitinib 250mg/day, erlotinib 150 mg/day, and icotinib 125 mg tid",Limited,,,30,Passive,,EGFR TKI,,"Gefitinib 250mg/day, erlotinib 150 mg/day, and icotinib 125 mg tid",,91,,,,,,"Overall survival,Disease-free survival,Intracranial progression/central nervous system failure",,,,,,,1.558,0.746,3.626,,,,,,,,,,,,,,,,,,,,,,,,Intracranial progression-free survival,7.1,7.9,,1.320,0.832,2.228,,,Progressive disease,14,24,,,,,,"TKI + WBRT(n = 51), TKI (n = 116)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High risk,"(other rater: ""this study is a retrospective study, which might have induced selection bias""). Retrospective cohort.",High risk,This isn't a randomized trial. Patients and physicians are making decisions about which treatment they are getting. Those expectations and wishes are going to affect performance.,Moderate/Unclear,"They do no discuss how they handle missing data and no clue how many are lost to follow up. It looks like they tried to avoid missing data by just excluding patients with missing data (which in itself is problematic discussed in ""other bias"").",High risk,"Other rater put mod/unclear. Not a randomized study. While this is a study comparing 2 treatment modalities, the way patients are going to be followed may be different and what salvage therapies are offered will be different.",High risk,"Retrospective, analyses are unlikely to be preplanned. They pretty much did everything (univariate, then subgroup analysis, multivariable analyses).",High risk (specify),"Again, not a RCT, so no ITT. All the other bias inherent in a retrospective, non randomized study. Another issue is they excluded patients who did not have ""sufficient clinical data"" but they don't specify what ""sufficient"" means. They exclude 50% of otherwise eligible NSCLC patients (~1000/2000 patients). That is introducing a type of selection bias.",Unclear,QOL not assessed.,High Risk,AE not reported,High bias,AE not reported,High,,High,AE not reported (other rater also put high risk),,double checked,
7644,agarsa,3,"Rades, 2017{#7644}",N/A,,Germany,,Non industry,,Journal,,OK,,Cohort,retrospective matched pair analysis,EffectnonRCT : stereotactic boost,252,,No ,,"WBRT + SRS: 52% ?58,  WBRT: 52% ?58",60% female,Different cancer types,majority lung or breast,"WBRT + SRS: 52% have 2 -3,  WBRT: 52% have 2-3",N/A,N/A,mixed mostly moderate to good,Unclear,,"WBRT,WBRT + SRS",KQ1 : WBRT +/- SRS,WBRT +  SRS,"WBRT: 2000 cGy, 5 fractions or 3000 cGy, 10 fractions or  4000 cGy, 20 fractions. SRS: 1500-2500 cGy or SRS with two to five fractions of 400–800 cGy",,OK,,84,84,Passive,,WBRT,"WBRT: 2000 cGy, 5 fractions or 3000 cGy, 10 fractions or  4000 cGy, 20 fractions",,168,168,,,,,,Overall survival,,24,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High risk,"Retrospective cohort with matched pair to address selection bias (see my note under ""other"" bias).",High risk,This isn't a randomized trial. Patients and physicians are making decisions about which treatment they are getting. Those expectations and wishes are going to affect performance.,Moderate/Unclear,They do no discuss how they handle missing data and no clue how many are lost to follow up.,High risk,"Not a randomized study. While this is a study comparing 2 treatment modalities, the way patients are going to be followed may be different and what salvage therapies are offered will be different. If follow up is different, their ability to detect event will be different.",High risk,"These types of studies requires several iterations of models to provide an estimated effect from treatment. There is going to be some selective reporting, as all the iterations and models (including different variables that do or do not make it into the final cut) are not going to be reported or shown.",High risk (specify),"Again, not a RCT, so no ITT. All the other bias inherent in a non randomized observational study. Also there is additional selection bias in doing matched pair analysis, eg overmatching. Related to that, matched pair analysis only matches for the known variables you are matching for but doesn't take into account unmeansured potential confounders (as it would in a randomized study). You can actually redistribute the confounders in a way that is biased by doing matched pair analysis.",Unclear,QOL not assessed.,High Risk,AE not reported,High bias,AE not reported,High,,High,#187-188,,double checked,
8355,oakinni,3,"Suh, 2008{#8355}",NCT00083304,"Spectrum Pharmaceuticals, 2007{#6460}",USA,,Industry ,,Abbreviated,abstract,OK,,RCT,,NA,368,,Not relevant outcome,not specified,N/A,N/A,Breast cancer only,,N/A,N/A,N/A,unclear,Unclear,unclear,"WBRT,Other : Efaproxiral",KQ1 : WBRT +/- efaproxial,WBRT + Efaproxial,"3000 cGy, 10 fractions, qd",Efaproxiral; supplemental oxygen,Limited,,,182,Passive,,WBRT,"3000 cGy, 10 fractions, qd",Supplemental oxygen,,183,,,,,,"Overall survival,Functional status",,,,8.5,7.5,,0.87,0.1167653,,,,,,,SE is log SE calculated from HR and p value given in paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KPS,,,,,,"KPS, and neurological signs and symptoms improvement in WBRT+Efaproxiral failed to achieve statistical significance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate/Unclear ,Randomized but method not described. Abstract only.,Moderate/Unclear,"Not blinded but could have been. Can't comment on compliance, abstract only.",Moderate/Unclear,Attrition not described in this abstract.,Moderate/Unclear,"Not blinded but could have been. Probably would not affect survival, but could have affected other endpoints (response rates, performance status).",Moderate/Unclear ,Only the abstract is available.,Moderate/Unclear,Only the abstract is available.,High,KPS,Moderate/Unclear,no criteria/methods described in abstract.,High bias,Other rater put mod/unclear. only nausea and headaches mentioned in abstract (no rates or severity),Neutral,,High,#188,,double checked,
8358,oakinni,3,"Pirzkall, 1998{#8358}",N/A,,Germany,,Non industry,tumor center funded,Journal,,OK,,Cohort,retrospective,EffectnonRCT,236,,No ,,"SRS: 57.4 [median],  SRS+WBRT: 55.6 [median]",32% female,Different cancer types,predominantly lung cancer,Predominantly solitary brain metastasis,NA,"RS: 20 mm  median diameter (range 3-38), RS+WBRT: 20 (3-36)",Excluded patients with >3 metastases or recurrent metastases,Good,excluded poor prognosis,"SRS,WBRT + SRS",KQ2 : SRS +/- WBRT,SRS + WBRT,SRS: 1000-2700 cGy; total radiation dose 3000-5000 cGy (median 3600 cGy),,Limited,,,158,Passive,,SRS,1000-3000 cGy,,78,78,,,,,,"Overall survival,Intracranial progression/central nervous system failure",,,1 and 2 year survival rates,,,,,,,,,,,"Intervention: 1-year survival  30.4%, 2-year survival 13.9%; 1-year survival 19.2%, 2-year survival 8.3%",HR not given in text - text indicates not significant at 0.5 level; this is only within the subgroup of patients without extracranial disease,,,,,,,,,,,,,,,,,,,,,,,,,,,Local control rates,,,,,,,"Intervention:  1-year 92%, 2-year 86%; control: 1-year 89%, 2-year 72% (p=0.13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High risk,"Retrospective cohort. Baseline characteristics differ by gender, number of brain mets.",High risk,This isn't a randomized trial. Patients and physicians are making decisions about which treatment they are getting. Those expectations and wishes are going to affect performance.,Moderate/Unclear,"I don't know if they meant 13% are actually alive at the end of study and censored, or some were lost to follow up and some were truly alive at end and they are all censored. Also they dont discussing missing data for their MVA.",High risk,"Not a randomized study. While this is a study comparing 2 treatment modalities, the way patients are going to be followed may be different and what salvage therapies are offered will be different. If follow up is different, their ability to detect event will be different.",High risk,"(Other rater: ""only reports results by arm for favorable outcomes"") I agree with other rater. These types of studies requires several iterations of models to provide an estimated effect from treatment. There is going to be some selective reporting, as all the iterations and models (including different variables that do or do not make it into the final cut) are not going to be reported or shown. Another example of more obvious selective reporting is the statement that WBRT offered protection against subsequent metastases (with incidence and latency reported, but without showing the curves or the stats when that is very testable).",High risk (specify),"(other rater: ""reports by subgroup analysis, but not consistently by arm""--I agree but would put this under selective reporting). Again, not a RCT, so no ITT. All the other bias inherent in a non randomized observational study. Several other issues arise. 1) Time span of the study, it is unclear when individuals were treated (this should have been included int their MVA because of the changes in systemic therapy from the 1980s to 1990s), 2) I assume they mean SRS and WBRT given around the same time, but it isn't explicitly stated (and if its not then that introduces a whole other set of concerns regarding selection bias), 3) surgery--very unclear what the role was for surgery (either before or after radiation) and surgery is likely going to be an unaddressed confounding factor",Unclear,QOL not assessed.,High Risk,"(other rater: ""very unclear what was collected"") agreed, no grade tool or method discussed",High bias,"(other rater: ""not reported by arm""). Reported perifocal edema and radionecrosis (not rigorously)",High,observational,High,"(other rater put observational) I put high risk because not reported/problematic, only reporting edema/radionecrosis",AE not reported by group,double checked,SH/AG
